;AMPHLEI;APIOERR;APIOVEN;ARMICEP;ARMIGAL;ARMIMEL;ARMIOST;ASTETIL;BISCMED;BJERADU;BLUMJAA;BOTRCIN;BOTRDOT;BOTRSTE;CALIPIN;CENAFER;CERAIPS;CERAMIN;CERAPLA;CHONPUR;CHRYABI;CHRYLED;COLETUS;COLPQUE;CRISDEP;CRONFLA;CRONQUE;CRONRIB;CRUMSOR;CRYPCAS;CRYPCOR;CRYPHYA;CRYPPAR;CRYPPOP;CYCLMIN;CYCLNIV;CYLIDID;DAEDCON;DELPABI;DICADRY;DISCCAS;DREPPUN;ENTOMAM;EUTYLAT;FISTHEP;FOMEFOM;FOMICYT;FOMIPIN;FUSAOXY;FUSIQUE;GANOADS;GANOAPP;GANORES;GNOMLEP;GREMABI;GYMNFUS;HAEMHAE;HERPJUN;HETEANN;HYPOFRA;LACHWIL;LAETSUL;LEPTLUN;LEPTPRO;LEUCPER;LIRUMAC;LIRUNER;LOPHCON;LOPHPIC;LOPHPIN;LOPHSED;MELAALL;MELACAR;MELALAR;MELAMOD;MELAPOP;MERIGIG;MICRALP;MICRJUG;MONOMON;MYCOCAS;MYCODEA;MYCOMIC;MYCOPIN;NECTCIN;NECTCOC;NECTDIT;NECTFUC;NECTVEU;NEONGAL;OPHIPIC;OPHISER;OPHIULM;OUDEMUC;OXYPPOP;PESTFUN;PEZICIN;PHACCON;PHAEGAE;PHAESCH;PHELCHR;PHELHAR;PHELIGN;PHELPIN;PHELROB;PHLOACE;PHOMJUN;PHOMQUE;PHYLACE;PHYLGUT;PLEUOST;PLEUPSE;PODOCLA;POLLRAD;POLYSQU;PSEUDRY;PUCCEPI;RHABPSE;RHIZKAL;RHIZMAC;RHIZOUD;RHIZUND;RHYTACE;ROSENEC;SARERES;SAWATUL;SCHICOM;SEIRCAR;SEPTPOD;SEPTQUE;SIROSTR;SPARCRI;SPHASAP;STEGPYR;STERHIR;STERSAN;STIGCAR;SYDOPOL;TAPHBET;TAPHCAE;TAPHCER;TAPHPOP;TITATRE;TRAMGIB;TRAMVER;TRUNHAR;VALSAMB;VALSKUN;VALSNIV;VALSSOR;VENTFRA;VENTINA;VERTDAH;ZYTHPIN
AMPHLEI;3;3;0;0;2;3;0;0;0;1;0;3;0;3;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;3;0;0;1;2;3;0;1;2;0;0;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0
APIOERR;3;7;0;1;4;7;0;1;0;2;0;4;0;5;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;1;1;2;0;0;0;0;1;0;4;0;0;0;0;3;1;0;2;4;3;0;3;2;0;0;4;3;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;3;0;0;1;0;3;3;1;0;1;2;4;0;0;1;0;0;2;0;0;1;0;0;0;0;3;1;0;3;1;0;1;1;0;0;1;3;0;0;0;0;0;0;1;0;0;1;2;0;0;3;0;0;0;1;3;0;0;0;0;1;0;0;0;2;1;0;1;0;0;2;0;0;1;0
APIOVEN;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARMICEP;0;1;0;5;4;4;4;0;0;0;0;4;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;1;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;0;0;0;1;0;0;0;3;1;0;0;2;0;1;0;0;1;0;0;1;0;0;1;0;1;0;3;1;2;1;1;0;1;1;0;0;0;0;1;0;3;1;0;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ARMIGAL;2;4;0;4;20;15;8;0;0;3;1;14;1;10;0;0;0;0;1;2;1;1;0;2;2;0;0;0;0;1;1;1;2;1;1;1;0;2;1;2;1;1;1;3;3;1;1;3;4;2;1;1;1;1;0;3;7;2;11;1;1;4;0;1;2;1;2;0;2;0;1;1;4;2;1;0;1;3;1;1;1;0;0;2;5;4;2;1;1;3;7;0;0;1;1;2;3;1;1;5;1;1;1;3;2;1;0;2;1;1;1;1;1;1;1;2;3;1;5;3;5;1;2;2;1;1;4;0;1;2;2;1;8;1;4;3;1;8;0;0;1;1;1;1;2;2;2;3;1;2;1;1;3;1
ARMIMEL;3;7;0;4;15;20;8;1;0;3;1;13;1;10;1;2;1;1;1;3;1;1;2;2;1;2;0;0;2;1;1;1;3;1;0;2;1;2;1;4;1;1;1;3;3;1;1;4;6;3;0;3;2;1;0;5;6;2;10;1;0;4;1;3;2;1;2;2;2;2;2;1;3;1;1;2;1;5;1;3;1;1;1;2;5;4;2;1;1;2;8;2;0;1;1;3;3;1;1;6;1;1;1;3;3;1;0;3;1;0;1;1;1;1;1;3;2;1;4;3;4;2;1;2;1;1;4;0;1;3;2;1;7;1;5;3;1;7;0;1;1;1;1;2;2;2;2;1;1;3;0;1;1;1
ARMIOST;0;0;0;4;8;8;16;0;0;1;1;12;0;0;1;3;2;3;0;0;2;1;3;0;0;5;0;1;4;0;0;0;0;0;1;3;1;0;1;0;0;0;0;1;0;0;0;4;3;0;0;0;0;0;2;0;2;3;15;0;2;1;2;3;1;1;2;4;3;5;5;0;4;1;0;4;0;0;0;0;0;1;0;5;1;0;0;2;0;0;6;2;0;0;0;3;0;1;1;8;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;1;7;3;5;3;0;1;1;0;1;0;0;0;2;2;14;0;1;5;1;14;0;0;1;0;0;0;1;3;0;3;0;0;0;0;0;1
ASTETIL;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BISCMED;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BJERADU;1;2;0;0;3;3;1;0;0;3;0;2;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;1;1;0;1;1;3;0;0;1;0;0;1;1;1;2;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1
BLUMJAA;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
BOTRCIN;3;4;0;4;14;13;12;0;0;2;1;24;1;7;1;3;2;3;1;2;2;1;3;2;2;4;0;0;4;0;1;1;1;1;2;4;1;1;1;3;0;1;1;2;4;0;0;6;6;3;1;1;2;0;3;3;7;3;13;0;2;3;2;3;2;1;1;3;3;4;5;1;2;2;0;3;0;3;0;2;0;1;0;6;4;2;0;1;0;2;7;2;0;0;0;5;2;1;1;7;1;1;0;5;2;1;0;3;1;1;0;1;1;1;1;3;1;1;5;2;3;3;2;2;1;1;4;1;1;3;2;2;12;1;3;4;1;11;0;1;1;1;1;1;1;4;2;2;1;2;1;1;3;1
BOTRDOT;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0
BOTRSTE;3;5;0;1;10;10;0;0;1;2;0;7;1;14;0;0;0;0;1;3;0;0;0;2;1;0;1;0;0;1;1;1;2;1;0;0;0;2;0;3;1;1;1;2;4;2;1;2;4;3;1;2;2;1;0;4;6;0;4;1;0;4;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;5;1;2;1;0;0;0;5;4;2;0;1;3;5;0;0;1;1;0;3;0;0;3;0;0;1;0;3;1;0;3;1;1;1;1;1;1;1;3;0;0;0;0;0;0;1;1;0;1;5;0;1;3;0;0;0;1;4;0;0;0;0;1;0;1;1;2;1;0;2;0;1;3;1;1;2;0
CALIPIN;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CENAFER;0;0;0;0;0;2;3;0;0;0;0;3;0;0;1;3;2;2;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;3;0;0;0;2;2;0;0;0;3;0;3;3;0;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
CERAIPS;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;2;2;1;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
CERAMIN;0;0;0;0;0;1;3;0;0;0;0;3;0;0;1;2;1;3;0;0;0;0;2;0;0;3;0;0;2;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;1;3;0;0;0;2;1;0;0;0;2;0;3;3;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
CERAPLA;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0
CHONPUR;1;2;0;0;2;3;0;0;0;1;0;2;1;3;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;2;1;0;2;1;0;0;1;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;2;0;1;0;0;0;0;2;1;1;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0;2;0;0;0;0;1;0;1;1;2;1;0;1;0;1;3;0;0;0;0
CHRYABI;0;0;0;2;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
CHRYLED;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
COLETUS;0;0;0;0;0;2;3;0;0;0;0;3;0;0;1;3;2;2;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;3;0;0;0;2;2;0;0;0;3;0;3;3;0;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
COLPQUE;2;2;0;0;2;2;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;1;2;0;0;1;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CRISDEP;0;1;0;1;2;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
CRONFLA;0;0;0;0;0;2;5;0;0;0;0;4;0;0;1;3;2;3;0;0;0;0;3;0;0;5;0;0;4;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;0;0;1;5;0;0;0;2;2;0;0;0;3;0;4;4;0;0;0;0;3;0;0;0;0;0;1;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;5;0;0;1;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
CRONQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRONRIB;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRUMSOR;0;0;0;0;0;2;4;0;0;0;0;4;0;0;1;3;2;2;0;0;0;0;3;0;0;4;0;0;5;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;4;0;0;0;2;2;0;0;0;3;0;3;3;0;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;5;0;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
CRYPCAS;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRYPCOR;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CRYPHYA;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CRYPPAR;1;2;0;0;2;3;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;2;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRYPPOP;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0
CYCLMIN;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
